frame,landmark,vector,total_vector
1,pose_0,"[-0.00036090612411499023, 0.0045101940631866455]",2.0472103718027768e-05
1,pose_1,"[-0.0006167292594909668, 0.0037847906351089478]",1.4704995131120668e-05
1,pose_2,"[-0.0007179975509643555, 0.003512948751449585]",1.285632941350201e-05
1,pose_3,"[-0.0010537505149841309, 0.003439083695411682]",1.2937686811875793e-05
1,pose_4,"[-0.0006147623062133789, 0.004580140113830566]",2.1355616155460666e-05
1,pose_5,"[-0.0002606511116027832, 0.004650011658668518]",2.169054742773291e-05
1,pose_6,"[-0.0003479421138763428, 0.00435328483581543]",1.907215257634931e-05
1,pose_7,"[-0.00020331144332885742, 0.0030965209007263184]",9.629777231623393e-06
1,pose_8,"[-0.0002449154853820801, 0.003344491124153137]",1.1245604474519055e-05
1,pose_9,"[-0.0002028942108154297, 0.0031281709671020508]",9.826619660202596e-06
1,pose_10,"[-0.0001525282859802246, 0.003893226385116577]",1.5180476563791956e-05
1,pose_11,"[0.00044602155685424805, -0.0019254982471466064]",3.906478728943341e-06
1,pose_12,"[0.0008248686790466309, -3.248453140258789e-06]",6.804188901199382e-07
1,pose_13,"[-0.007640540599822998, -0.01148611307144165]",0.00019030865414748632
1,pose_14,"[0.0002247244119644165, -0.0042511820793151855]",1.8123050132823337e-05
1,pose_15,"[0.00023943185806274414, 0.014987051486968994]",0.00022466903988771492
1,pose_16,"[0.00010216236114501953, -0.01714414358139038]",0.0002939320962873637
1,pose_17,"[0.0003917217254638672, 0.02287060022354126]",0.0005232178004952459
1,pose_18,"[4.1425228118896484e-05, -0.021243005990982056]",0.0004512670195824242
1,pose_19,"[0.0008063316345214844, 0.024986624717712402]",0.0006249815854886265
1,pose_20,"[-0.00010305643081665039, -0.017777860164642334]",0.0003160629326615094
1,pose_21,"[0.0003056526184082031, 0.024898946285247803]",0.0006200509496387951
1,pose_22,"[-0.00020760297775268555, -0.014684885740280151]",0.0002156889682014551
1,pose_23,"[0.003565192222595215, -0.0006029009819030762]",1.3074085178033101e-05
1,pose_24,"[0.007607549428939819, -9.894371032714844e-06]",5.7874906212340704e-05
1,pose_25,"[0.014084875583648682, -0.00017952919006347656]",0.00019841595093694764
1,pose_26,"[0.0054787397384643555, 7.855892181396484e-05]",3.0022760626025047e-05
1,pose_27,"[0.021407663822174072, 1.0728836059570312e-06]",0.00045828807147429984
1,pose_28,"[0.017197906970977783, 0.00015211105346679688]",0.000295791141954993
1,pose_29,"[0.019838452339172363, -4.863739013671875e-05]",0.0003935665568093327
1,pose_30,"[0.018515199422836304, 2.86102294921875e-06]",0.0003428126178528501
1,pose_31,"[0.03207731246948242, 4.8160552978515625e-05]",0.0010289562947036757
1,pose_32,"[0.03035685420036316, 0.00011277198791503906]",0.0009215513144633647
1,hand_0_0,"[0.0007257759571075439, -0.015124797821044922]",0.0002292862598674006
1,hand_0_1,"[0.00182303786277771, -0.022019952535629272]",0.00048820177672048715
1,hand_0_2,"[-0.007670164108276367, -0.022147953510284424]",0.0005493632621416111
1,hand_0_3,"[-0.015471100807189941, -0.019122421741485596]",0.0006050219734454743
1,hand_0_4,"[-0.019666433334350586, -0.01832711696624756]",0.000722651816388975
1,hand_0_5,"[-0.0016135871410369873, -0.016709953546524048]",0.0002818262109887115
1,hand_0_6,"[-0.0015339255332946777, -0.019513845443725586]",0.00038314309154330317
1,hand_0_7,"[-0.002998530864715576, -0.022136002779006958]",0.0004989938063788557
1,hand_0_8,"[-0.00620231032371521, -0.026397883892059326]",0.0007353169273303095
1,hand_0_9,"[0.002046436071395874, -0.013909906148910522]",0.00019767338966580894
1,hand_0_10,"[0.002857983112335205, -0.014681607484817505]",0.0002237176658086426
1,hand_0_11,"[-0.0011249780654907227, -0.017209738492965698]",0.0002974406746441005
1,hand_0_12,"[-0.006681889295578003, -0.02224758267402649]",0.0005396025793960035
1,hand_0_13,"[0.005910336971282959, -0.012275487184524536]",0.00018561966873154034
1,hand_0_14,"[0.009830236434936523, -0.011237263679504395]",0.00022290964336946217
